-9.993235208094120026e-02,-1.567577093373984098e-02,-4.758791546819816176e+01
-6.641599256545305252e-02,-4.566487867850810289e-02,-4.756591616664911726e+01
-6.628383696079254150e-02,-6.830268446356058121e-02,-4.749491658509703029e+01
-7.827825564891099930e-02,8.255114359781146049e-02,-4.777791374860396445e+01
8.954265546053647995e-01,8.202159807551652193e-01,-4.849590434108097270e+01
2.376867211423814297e+00,2.156993459619116038e+00,-4.944888607056486762e+01
3.536812894977629185e+00,3.356062248465605080e+00,-5.034086895288817232e+01
4.065410158596932888e+00,4.189228377363178879e+00,-5.100685585909434394e+01
4.263645171187818050e+00,4.499779154604766518e+00,-5.141585098381335683e+01
4.396433182060718536e+00,4.598654671164695174e+00,-5.168584973304575669e+01
4.418836133554577827e+00,4.568600691505707800e+00,-5.185085038479905961e+01
4.396697457879781723e+00,4.553379093995317817e+00,-5.204785057000958659e+01
4.363533489406108856e+00,4.523000767803750932e+00,-5.206085098732012284e+01
4.308274892158806324e+00,4.469854913593735546e+00,-5.208385172933719787e+01
4.330237383022904396e+00,4.515260230167768896e+00,-5.217185098614993422e+01
4.329708832316100597e+00,4.605811385496053845e+00,-5.214484931222398245e+01
4.462540889158844948e+00,4.697140969044994563e+00,-5.213484820095527539e+01
4.595593175850808620e+00,4.750740902149118483e+00,-5.216484778717415338e+01
4.672726179473102093e+00,4.864383922307752073e+00,-5.222084602299344169e+01
4.772085952572524548e+00,4.978156676224898547e+00,-5.219584435259923794e+01
4.949195369146764278e+00,5.099929433199577034e+00,-5.228084287097408378e+01
4.712775213643908501e+00,5.619236308324616402e+00,-5.206983226106717666e+01
3.818110925145447254e+00,6.572380068246275187e+00,-5.199081079471307021e+01
2.210516639985144138e+00,7.808118274493608624e+00,-5.208478103044774343e+01
8.932358492165803909e-01,8.811619586369488388e+00,-5.215075681197879476e+01
5.576846748590469360e-02,9.485889155534096062e+00,-5.222074074656040921e+01
-2.353374371305108070e-01,9.853953635552898049e+00,-5.228173269462502049e+01
-3.585535157471895218e-01,1.001925076788756996e+01,-5.230672911104363720e+01
-2.812882950529456139e-01,1.011025600600987673e+01,-5.237372776485153736e+01
-9.187634382396936417e-02,1.002835331566166133e+01,-5.238673009494766575e+01
-6.105501241981983185e-01,9.398992268252186477e+00,-5.220673947237116863e+01
-1.705093919299542904e+00,8.419145209423732013e+00,-5.222875283279722680e+01
-2.963739801198244095e+00,6.993114433018490672e+00,-5.227977372170482795e+01
-3.978815832175314426e+00,5.726974870369303972e+00,-5.226979271137520300e+01
-4.762888999655842781e+00,4.869677954702638090e+00,-5.231480515186672164e+01
-5.093823950737714767e+00,4.445159163326025009e+00,-5.234081155967328414e+01
-5.215322386473417282e+00,4.316164588963147253e+00,-5.240881341640783830e+01
-5.149214683100581169e+00,4.414651049650274217e+00,-5.238481188378523257e+01
-5.072434054687619209e+00,4.588661794143263251e+00,-5.231080900317988380e+01
-5.006678712554275990e+00,4.747515781957190484e+00,-5.231780635476411589e+01
-5.018849185667932034e+00,4.928553512028884143e+00,-5.232080296062213165e+01
-4.304113017395138741e+00,4.336575773544609547e+00,-5.195981697195281868e+01
-3.420870100148022175e+00,3.436187717190477997e+00,-5.206983740441376085e+01
-2.135342792607843876e+00,2.160838462819810957e+00,-5.210386649704071260e+01
-9.730755845084786415e-01,1.058332669083029032e+00,-5.219889186937473369e+01
-1.908217398449778557e-01,3.233723013545386493e-01,-5.227490881677340440e+01
2.564888624474406242e-01,-1.494265076471492648e-01,-5.230591947785330831e+01
4.125608066096901894e-01,-2.315234954585321248e-01,-5.192692166802123666e+01
6.236269949004054070e-01,-2.151989396661520004e-01,-5.139092227918683875e+01
6.121611958369612694e-01,-1.548963425448164344e-01,-5.082992111646444755e+01
4.673347910866141319e-01,-9.537228127010166645e-02,-5.031991939155500404e+01
3.448232589289546013e-01,-5.081033083843067288e-02,-4.981991803933522078e+01
2.895206501707434654e-01,-9.641032945364713669e-02,-4.925791864200630243e+01
3.677548542618751526e-01,-1.714155307272449136e-01,-4.874092036476406520e+01
4.342148983851075172e-01,-1.332965886103920639e-01,-4.822291994842987606e+01
4.672026345506310463e-01,-7.273447752231732011e-02,-4.770691897310382501e+01
3.782515125349164009e-01,-6.570756650762632489e-02,-4.711691845884149643e+01
3.228608025237917900e-01,-9.621569537557661533e-02,-4.686291878254371568e+01
3.344147047027945518e-01,-1.716101651545614004e-01,-4.684992022422409264e+01
