0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.420201433256688794e-01,9.396926207859083169e-01
-4.190261047551420160e-05,-6.348244176652310873e-07,6.328638054079723626e-06,-8.695874700194134582e-03,-4.103387355644631806e-04,1.333123395765828173e-03,-2.680906485070405450e-05,-7.141481378847775097e-06,-3.420435561744440967e-01,9.396840984659755591e-01
-1.824343866319800482e-04,-1.291679613246276003e-06,1.385520726458559116e-05,-2.171525190783534648e-02,-1.756150498128513423e-03,7.976569632783171867e-05,-1.640472587322517860e-05,-2.748697264630628763e-05,-3.420193292253665973e-01,9.396929165485833346e-01
-4.313265974787110885e-04,1.112278107543105814e-05,1.825271579287205797e-05,-3.330608848213666151e-02,-3.992151235522345973e-04,7.193407009782017613e-04,2.768660708022834359e-06,2.276046025396348700e-05,-3.419855940296318009e-01,9.397051947023081775e-01
-7.622877023594031151e-04,5.558938890397353155e-05,3.623829408515335236e-05,-4.092051293626080416e-02,2.121597443307937474e-03,3.775619013612412003e-03,3.918047321628386083e-05,4.769597913222885780e-05,-3.419938484967582348e-01,9.397021888770806797e-01
-1.161617880103510457e-03,1.341171921585771398e-04,6.857223296140988107e-05,-5.126505500374936575e-02,2.623096207136475615e-03,3.525432237152132352e-03,4.128827262622836381e-05,2.154259399134539644e-05,-3.420114850326709810e-01,9.396957709476934095e-01
-1.647363929154556242e-03,2.417219477030750586e-04,9.934787239274274484e-05,-6.383900709125900352e-02,2.959637900174759157e-03,3.246640984842540274e-03,6.396130774535297044e-05,1.454459999297167598e-05,-3.420059330877535109e-01,9.396977904785491775e-01
-2.216073798032738677e-03,3.813811228716781909e-04,1.331969963276012354e-04,-7.235861563677975505e-02,4.989130999901570870e-03,5.136733479872791774e-03,1.011447628608522123e-04,9.327801807351391794e-06,-3.420316230521891487e-01,9.396884369380907875e-01
-2.839119615127198935e-03,5.584626961778131182e-04,1.802242770560424294e-04,-7.876162537068945313e-02,6.766417441985760756e-03,7.263823869213929980e-03,1.403355822462434377e-04,9.235172982580662832e-06,-3.420276041105299591e-01,9.396898947244415323e-01
-3.517080396459130835e-03,7.743048718782840527e-04,2.354532196073215011e-04,-9.025042430658357373e-02,6.686567835358944376e-03,5.636788645331938276e-03,1.898288286957301870e-04,-1.962661357974133814e-05,-3.419889848678009936e-01,9.397039415737333812e-01
-4.276926871696472288e-03,1.028064247956708742e-03,2.832209266959367184e-04,-1.019350891388511732e-01,8.341002213920183789e-03,5.432839699508945630e-03,2.227849799342532494e-04,-1.326507863033586724e-05,-3.419487023233007128e-01,9.397185936070387990e-01
-5.108292341254038436e-03,1.325600156972003667e-03,3.332448246077568703e-04,-1.089738318337846318e-01,1.140044866340558273e-02,7.941789903920278351e-03,2.250110914649115497e-04,4.311101208916947304e-06,-3.419128579463960316e-01,9.397316355869756999e-01
-5.986497060884318766e-03,1.670805182387825145e-03,3.963205991292799608e-04,-1.168391482348760252e-01,1.296130771727724111e-02,8.155738731031370037e-03,2.393132913037561318e-04,3.923321538555518276e-06,-3.419139203527917226e-01,9.397312455077431181e-01
